"OID","Country or Area","Year","Description","Magnitude","Value"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2009","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","112473000000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2009","SUBSIDIES","AFGHANIS","297863"
"512c27..BA...","AFGHANISTAN, I.R. OF","2009","SOCIAL BENEFITS","AFGHANIS","5571880000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2009","PURCHASES OF GOODS & SERVICES","AFGHANIS","25229700000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2009","OTHER PAYMENTS","AFGHANIS","315370000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2009","INTEREST","AFGHANIS","103937000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2009","GRANTS","AFGHANIS","77766000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2009","COMPENSATION OF EMPLOYEES","AFGHANIS","54471100000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2009","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","85770000000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2008","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","109768000000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2008","SUBSIDIES","AFGHANIS","4450000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2008","SOCIAL BENEFITS","AFGHANIS","3812310000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2008","PURCHASES OF GOODS & SERVICES","AFGHANIS","30298700000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2008","OTHER PAYMENTS","AFGHANIS","673574000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2008","INTEREST","AFGHANIS","103089000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2008","GRANTS","AFGHANIS","385128000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2008","COMPENSATION OF EMPLOYEES","AFGHANIS","47381300000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2008","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","82658500000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2007","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","98588400000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2007","SUBSIDIES","AFGHANIS","700000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2007","SOCIAL BENEFITS","AFGHANIS","3243770000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2007","PURCHASES OF GOODS & SERVICES","AFGHANIS","28379400000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2007","OTHER PAYMENTS","AFGHANIS","18920000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2007","INTEREST","AFGHANIS","106723000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2007","GRANTS","AFGHANIS","413296000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2007","COMPENSATION OF EMPLOYEES","AFGHANIS","33137800000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2007","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","65300700000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2006","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","77888700000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2006","SUBSIDIES","AFGHANIS","8000000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2006","SOCIAL BENEFITS","AFGHANIS","2676980000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2006","PURCHASES OF GOODS & SERVICES","AFGHANIS","24779500000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2006","OTHER PAYMENTS","AFGHANIS","61894000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2006","INTEREST","AFGHANIS","169353000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2006","GRANTS","AFGHANIS","3185570000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2006","COMPENSATION OF EMPLOYEES","AFGHANIS","26262700000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2006","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","57144000000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2005","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","52001700000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2005","SUBSIDIES","AFGHANIS","8640000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2005","SOCIAL BENEFITS","AFGHANIS","1935230000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2005","PURCHASES OF GOODS & SERVICES","AFGHANIS","19707500000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2005","OTHER PAYMENTS","AFGHANIS","982963000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2005","INTEREST","AFGHANIS","149941000"
"512c26..BA...","AFGHANISTAN, I.R. OF","2005","GRANTS","AFGHANIS","63247900"
"512c21..BA...","AFGHANISTAN, I.R. OF","2005","COMPENSATION OF EMPLOYEES","AFGHANIS","20502800000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2005","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","43350300000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2004","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","45236900000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2004","SUBSIDIES","AFGHANIS","47687300"
"512c27..BA...","AFGHANISTAN, I.R. OF","2004","SOCIAL BENEFITS","AFGHANIS","1365650000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2004","PURCHASES OF GOODS & SERVICES","AFGHANIS","22221900000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2004","OTHER PAYMENTS","AFGHANIS","573900000"
"512c24..BA...","AFGHANISTAN, I.R. OF","2004","INTEREST","AFGHANIS","97925700"
"512c26..BA...","AFGHANISTAN, I.R. OF","2004","GRANTS","AFGHANIS","343905000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2004","COMPENSATION OF EMPLOYEES","AFGHANIS","15260300000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2004","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","39911300000"
"512c2M..BA...","AFGHANISTAN, I.R. OF","2003","TOTAL CASH EXPENDITURE [2+31]","AFGHANIS","30547600000"
"512c25..BA...","AFGHANISTAN, I.R. OF","2003","SUBSIDIES","AFGHANIS","181122000"
"512c27..BA...","AFGHANISTAN, I.R. OF","2003","SOCIAL BENEFITS","AFGHANIS","686496000"
"512c22..BA...","AFGHANISTAN, I.R. OF","2003","PURCHASES OF GOODS & SERVICES","AFGHANIS","10921700000"
"512c28..BA...","AFGHANISTAN, I.R. OF","2003","OTHER PAYMENTS","AFGHANIS","38654900"
"512c24..BA...","AFGHANISTAN, I.R. OF","2003","INTEREST","AFGHANIS","42105600"
"512c26..BA...","AFGHANISTAN, I.R. OF","2003","GRANTS","AFGHANIS","768188000"
"512c21..BA...","AFGHANISTAN, I.R. OF","2003","COMPENSATION OF EMPLOYEES","AFGHANIS","11728900000"
"512c2...BA...","AFGHANISTAN, I.R. OF","2003","CASH PAYMENTS FOR OPERATING ACTIVITI","AFGHANIS","24367200000"
"914c2M..GG...","ALBANIA","2008","TOTAL CASH EXPENDITURE [2+31]","LEKS","351445000000"
"914c25..GG...","ALBANIA","2008","SUBSIDIES","LEKS","2637940000"
"914c27..GG...","ALBANIA","2008","SOCIAL BENEFITS","LEKS","16749600000"
"914c22..GG...","ALBANIA","2008","PURCHASES OF GOODS & SERVICES","LEKS","32900300000"
"914c24..GG...","ALBANIA","2008","INTEREST","LEKS","31340400000"
"914c21..GG...","ALBANIA","2008","COMPENSATION OF EMPLOYEES","LEKS","76666700000"
"914c2...GG...","ALBANIA","2008","CASH PAYMENTS FOR OPERATING ACTIVITI","LEKS","248273000000"
"914c2M..GG...","ALBANIA","2007","TOTAL CASH EXPENDITURE [2+31]","LEKS","285594000000"
"914c25..GG...","ALBANIA","2007","SUBSIDIES","LEKS","3631490000"
"914c27..GG...","ALBANIA","2007","SOCIAL BENEFITS","LEKS","14360100000"
"914c22..GG...","ALBANIA","2007","PURCHASES OF GOODS & SERVICES","LEKS","29098300000"
"914c24..GG...","ALBANIA","2007","INTEREST","LEKS","25594400000"
"914c21..GG...","ALBANIA","2007","COMPENSATION OF EMPLOYEES","LEKS","67509600000"
"914c2...GG...","ALBANIA","2007","CASH PAYMENTS FOR OPERATING ACTIVITI","LEKS","222061000000"
